time	V(n001)	V(n002)
3.803621781719425e-002	9.796373e+000	4.886241e+000
3.813387406719425e-002	9.715835e+000	4.862831e+000
3.823153031719425e-002	9.622129e+000	4.826343e+000
3.832918656719425e-002	9.515385e+000	4.776948e+000
3.842684281719425e-002	9.395743e+000	4.717831e+000
3.852449906719425e-002	9.263369e+000	4.651495e+000
3.862215531719426e-002	9.118441e+000	4.578737e+000
3.881746781719426e-002	8.791724e+000	4.414688e+000
3.911043656719426e-002	8.212943e+000	4.124071e+000
3.940340531719427e-002	7.534079e+000	3.783198e+000
3.969637406719427e-002	6.763403e+000	3.396224e+000
3.998934281719428e-002	5.910308e+000	2.967864e+000
4.028231156719428e-002	4.985190e+000	2.503339e+000
4.057528031719428e-002	3.999323e+000	2.008309e+000
4.086824906719429e-002	2.964719e+000	1.488809e+000
4.116121781719429e-002	1.893987e+000	9.511706e-001
4.135653031719429e-002	1.166525e+000	5.858978e-001
4.155184281719430e-002	4.327405e-001	2.174555e-001
4.164949906719430e-002	6.471987e-002	3.267099e-002
4.174715531719430e-002	-3.033885e-001	-1.521530e-001
4.184481156719430e-002	-6.710857e-001	-3.367147e-001
4.194246781719430e-002	-1.037874e+000	-5.100405e-001
4.204012406719430e-002	-1.403255e+000	-6.358425e-001
4.213778031719431e-002	-1.766734e+000	-6.946163e-001
4.222619505311880e-002	-2.093765e+000	-7.136209e-001
4.242150755311881e-002	-2.807431e+000	-7.331181e-001
4.271447630311881e-002	-3.848220e+000	-7.487150e-001
4.300744505311881e-002	-4.842113e+000	-7.585974e-001
4.330041380311882e-002	-5.777000e+000	-7.657600e-001
4.359338255311882e-002	-6.641489e+000	-7.712698e-001
4.388635130311883e-002	-7.425044e+000	-7.756267e-001
4.417932005311883e-002	-8.118116e+000	-7.791009e-001
4.447228880311883e-002	-8.712261e+000	-7.818522e-001
4.476525755311884e-002	-9.200238e+000	-7.839798e-001
4.505822630311884e-002	-9.576100e+000	-7.855476e-001
4.535119505311885e-002	-9.835267e+000	-7.865958e-001
4.564416380311885e-002	-9.974582e+000	-7.871489e-001
4.593713255311886e-002	-9.992345e+000	-7.872189e-001
4.623010130311886e-002	-9.888341e+000	-7.868075e-001
4.652307005311886e-002	-9.663836e+000	-7.859056e-001
4.681603880311887e-002	-9.321568e+000	-7.844928e-001
4.710900755311887e-002	-8.865707e+000	-7.825338e-001
4.740197630311888e-002	-8.301807e+000	-7.799728e-001
4.769494505311888e-002	-7.636742e+000	-7.767226e-001
4.798791380311888e-002	-6.878614e+000	-7.726448e-001
4.828088255311889e-002	-6.036664e+000	-7.675090e-001
4.857385130311889e-002	-5.121150e+000	-7.609023e-001
4.886682005311890e-002	-4.143229e+000	-7.519832e-001
4.915978880311890e-002	-3.114820e+000	-7.386099e-001
4.935510130311890e-002	-2.407331e+000	-7.237669e-001
4.945275755311891e-002	-2.048452e+000	-7.113367e-001
4.955041380311891e-002	-1.686797e+000	-6.861758e-001
4.964807005311891e-002	-1.322856e+000	-6.153576e-001
4.974572630311891e-002	-9.571218e-001	-4.767821e-001
4.980584436779557e-002	-7.312961e-001	-3.674876e-001
4.987769900760160e-002	-4.609005e-001	-2.316578e-001
4.997535525760160e-002	-9.290715e-002	-4.683128e-002
5.007301150760160e-002	2.752121e-001	1.380285e-001
5.017066775760160e-002	6.429585e-001	3.226977e-001
5.036598025760160e-002	1.375340e+000	6.904685e-001
5.065894900760161e-002	2.458708e+000	1.234484e+000
5.095191775760161e-002	3.512113e+000	1.763450e+000
5.124488650760162e-002	4.522720e+000	2.270924e+000
5.153785525760162e-002	5.478213e+000	2.750722e+000
5.183082400760163e-002	6.366948e+000	3.196998e+000
5.212379275760163e-002	7.178095e+000	3.604314e+000
5.241676150760163e-002	7.901769e+000	3.967707e+000
5.270973025760164e-002	8.529152e+000	4.282749e+000
5.300269900760164e-002	9.052598e+000	4.545599e+000
5.310035525760164e-002	9.202843e+000	4.621041e+000
5.319801150760165e-002	9.340615e+000	4.690175e+000
5.329566775760165e-002	9.465729e+000	4.752576e+000
5.339332400760165e-002	9.578014e+000	4.806565e+000
5.349098025760165e-002	9.677320e+000	4.848860e+000
5.358863650760165e-002	9.763510e+000	4.877523e+000
5.368629275760165e-002	9.836468e+000	4.895042e+000
5.378394900760165e-002	9.896095e+000	4.905662e+000
5.388160525760165e-002	9.942311e+000	4.912031e+000
5.397926150760166e-002	9.975053e+000	4.915751e+000
5.407691775760166e-002	9.994277e+000	4.917762e+000
5.417457400760166e-002	9.999955e+000	4.918340e+000
5.427223025760166e-002	9.992083e+000	4.917513e+000
5.436988650760166e-002	9.970667e+000	4.915161e+000
5.446754275760166e-002	9.935740e+000	4.910926e+000
5.456519900760166e-002	9.887347e+000	4.904040e+000
5.466285525760167e-002	9.825555e+000	4.892760e+000
5.476051150760167e-002	9.750446e+000	4.873789e+000
5.485816775760167e-002	9.662125e+000	4.842961e+000
5.495582400760167e-002	9.560707e+000	4.798572e+000
5.505348025760167e-002	9.446334e+000	4.743031e+000
5.515113650760167e-002	9.319159e+000	4.679483e+000
5.524879275760167e-002	9.179353e+000	4.609320e+000
5.534644900760168e-002	9.027107e+000	4.532878e+000
5.563941775760168e-002	8.497876e+000	4.267141e+000
5.593238650760168e-002	7.865089e+000	3.949406e+000
5.622535525760169e-002	7.136458e+000	3.583543e+000
5.651832400760169e-002	6.320861e+000	3.174012e+000
5.681129275760170e-002	5.428238e+000	2.725804e+000
5.710426150760170e-002	4.469466e+000	2.244380e+000
5.739723025760170e-002	3.456229e+000	1.735609e+000
5.769019900760171e-002	2.400874e+000	1.205690e+000
5.798316775760171e-002	1.316262e+000	6.610838e-001
5.817848025760172e-002	5.834508e-001	2.931285e-001
5.827613650760172e-002	2.156103e-001	1.084332e-001
5.837379275760172e-002	-1.525225e-001	-7.640528e-002
5.847144900760172e-002	-5.204486e-001	-2.611308e-001
5.856910525760172e-002	-8.876693e-001	-4.432601e-001
5.866676150760172e-002	-1.253687e+000	-5.994405e-001
5.874185857180456e-002	-1.534023e+000	-6.705585e-001
5.882206360037173e-002	-1.832063e+000	-7.006103e-001
5.891971985037173e-002	-2.192664e+000	-7.172498e-001
5.911503235037173e-002	-2.904467e+000	-7.351236e-001
5.940800110037173e-002	-3.941476e+000	-7.497851e-001
5.970096985037174e-002	-4.930455e+000	-7.593443e-001
5.999393860037174e-002	-5.859350e+000	-7.663238e-001
6.028690735037175e-002	-6.716844e+000	-7.717119e-001
6.057987610037175e-002	-7.492485e+000	-7.759789e-001
6.087284485037176e-002	-8.176823e+000	-7.793814e-001
6.116581360037176e-002	-8.761517e+000	-7.820720e-001
6.145878235037176e-002	-9.239443e+000	-7.841461e-001
6.175175110037177e-002	-9.604776e+000	-7.856648e-001
6.204471985037177e-002	-9.853065e+000	-7.866668e-001
6.233768860037178e-002	-9.981285e+000	-7.871753e-001
6.263065735037177e-002	-9.987871e+000	-7.872013e-001
6.292362610037175e-002	-9.872746e+000	-7.867455e-001
6.321659485037173e-002	-9.637309e+000	-7.857978e-001
6.350956360037172e-002	-9.284432e+000	-7.843366e-001
6.380253235037170e-002	-8.818415e+000	-7.823251e-001
6.409550110037168e-002	-8.244935e+000	-7.797051e-001
6.438846985037167e-002	-7.570983e+000	-7.763858e-001
6.468143860037165e-002	-6.804770e+000	-7.722225e-001
6.497440735037163e-002	-5.955633e+000	-7.669731e-001
6.526737610037162e-002	-5.033921e+000	-7.601994e-001
6.556034485037160e-002	-4.050866e+000	-7.509953e-001
6.585331360037158e-002	-3.018446e+000	-7.369848e-001
6.604862610037157e-002	-2.308934e+000	-7.209173e-001
6.614628235037157e-002	-1.949243e+000	-7.065778e-001
6.624393860037156e-002	-1.586910e+000	-6.723889e-001
6.634159485037156e-002	-1.222427e+000	-5.833479e-001
6.643925110037155e-002	-8.562866e-001	-4.292274e-001
6.649509507103295e-002	-6.463588e-001	-3.248367e-001
6.656376912367677e-002	-3.878173e-001	-1.949547e-001
6.666142537367677e-002	-1.975920e-002	-1.009796e-002
6.675908162367676e-002	3.483257e-001	1.747437e-001
6.685673787367676e-002	7.159386e-001	3.593454e-001
6.705205037367674e-002	1.447757e+000	7.268329e-001
6.734501912367673e-002	2.529545e+000	1.270055e+000
6.763798787367671e-002	3.580508e+000	1.797794e+000
6.793095662367669e-002	4.587839e+000	2.303623e+000
6.822392537367668e-002	5.539262e+000	2.781378e+000
6.851689412367666e-002	6.423184e+000	3.225237e+000
6.880986287367664e-002	7.228832e+000	3.629792e+000
6.910283162367663e-002	7.946389e+000	3.990113e+000
6.939580037367661e-002	8.567111e+000	4.301810e+000
6.968876912367659e-002	9.083434e+000	4.561083e+000
6.978642537367659e-002	9.231215e+000	4.635286e+000
6.988408162367658e-002	9.366488e+000	4.703136e+000
6.998173787367658e-002	9.489065e+000	4.764063e+000
7.007939412367657e-002	9.598783e+000	4.816010e+000
7.017705037367657e-002	9.695493e+000	4.855623e+000
7.027470662367656e-002	9.779062e+000	4.881738e+000
7.037236287367656e-002	9.849380e+000	4.897511e+000
